"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020113988","","0","IN","P783197","2020","7","2"
"2020047356","","0","PA","XMB1180","2021","3","1"
"2020043588","","0","TN","H1204HY","2018","7","2"
"2020043588","","0","ZZ","","","7","3"
"2020055710","","0","NJ","TKL72Y","","6","1"
"2020053533","","0","ZI","K5588K","2020","7","1"
"2020091647","","0","PA","XHM0209","2021","7","1"
"2020036416","","0","PA","XKR2806","2023","8","1"
"2020015210","","0","ME","2584014","2025","7","2"
"2020080271","","0","GA","WDR242","2020","7","1"
"2020056639","","0","","","","1","1"
"2020102009","","0","PA","XFA6726","2020","7","3"
"2020076250","","0","IA","FH6014","2020","6","1"
"2020076250","","0","IL","663403ST","2020","6","2"
"2020076250","","0","AR","PT173039","2020","6","3"
"2020089070","","0","PA","PT313H4","2020","7","2"
"2020038268","","0","PA","XDG0653","2023","8","1"
"2020009534","","0","TN","U977385","2012","7","1"
"2020046395","","0","MN","8403STW","2021","7","1"
"2020045738","","0","CA","4PY6049","2020","7","1"
"2020043756","","0","IN","P550779","2020","7","1"
"2020028036","","0","PA","XKR9112","2020","5","1"
"2020048674","","0","PA","XLH1265","","3","1"
"2020105195","","0","PA","XJZ4127","2022","3","4"
"2020010101","","0","ME","272968Z","2027","6","1"
"2020031097","","0","PA","LCZ0747","2014","1","1"
"2020100925","","0","ID","TL6152","2099","7","1"
"2020007501","","0","ME","2838965","","7","2"
"2020078370","","0","NJ","TWD36Z","2099","7","1"
"2020103401","","0","PA","PT377A1","2015","7","2"
"2020104113","","0","ME","234682C","2023","7","1"
"2020104113","","0","ME","2435055","2024","7","2"
"2020003274","","0","PA","XT94263","2020","7","2"
"2020059562","","0","IL","518082ST","2007","7","3"
"2020087757","","1","","","","8","3"
"2020068468","","0","IL","471783ST","2021","7","1"
"2020080905","","0","","","","1","3"
"2020060637","","0","PA","XKY5798","2020","3","1"
"2020093856","","0","OH","TRM7637","2021","7","1"
"2020039737","","0","NJ","TMB70K","2021","3","1"
"2020082277","","0","NY","CA48007","2020","7","1"
"2020064868","","0","PA","PT133E9","2020","7","1"
"2020064868","","0","IL","705043ST","2020","7","4"
"2020055400","","0","PA","AG92038","2021","7","3"
"2020045208","","0","TX","136B141","2020","7","1"
"2020101204","","0","PA","PT46J8","2021","7","1"
"2020002487","","0","IL","709798ST","2020","7","1"
"2020076361","","0","OH","TQY7856","2021","7","1"
